episode_number, youtube_link, transcript_file

005, https://youtu.be/4QI291kZ4K4?si=ssKKaGFiRPX1fuT3, C:\Users\Rizwan\Transcripts\ep005.txt
006, https://youtu.be/Zf_2icharEY?si=LamB_lDFf0gm1Y9o, C:\Users\Rizwan\Transcripts\ep006.txt
007, https://youtu.be/C_-JF7p1_Dw?si=N96o5pTy45eF_evG, C:\Users\Rizwan\Transcripts\ep007.txt
008, https://youtu.be/GXGE97FWaec?si=6l2XybzxkHLx1Ng8, C:\Users\Rizwan\Transcripts\ep008.txt
009, https://youtu.be/qJYnittyzaM?si=qpY3fEPf1E-jfTsg, C:\Users\Rizwan\Transcripts\ep009.txt
010, https://youtu.be/qJYnittyzaM?si=4nxBqg5nJagQGKsX, C:\Users\Rizwan\Transcripts\ep010.txt
011, https://youtu.be/xoA3UQMqJX0?si=VazYQVhmSBlJst5h, C:\Users\Rizwan\Transcripts\ep011.txt
012, https://youtu.be/xoA3UQMqJX0?si=KZPM4BJIObdtjTuQ, C:\Users\Rizwan\Transcripts\ep012.txt
013, https://youtu.be/w-2VctXm1YU?si=wAiDTuL3u4IgPSYP, C:\Users\Rizwan\Transcripts\ep013.txt
014, https://youtu.be/YGGUplbuksU?si=RWFz66OBjh2lrsDW, C:\Users\Rizwan\Transcripts\ep014.txt
015, https://youtu.be/YGGUplbuksU?si=SHSE0JyrYRhdwSGt, C:\Users\Rizwan\Transcripts\ep015.txt
016, https://youtu.be/dK2FkQBS8Jg?si=40qolW6bRJZLS80V, C:\Users\Rizwan\Transcripts\ep016.txt
017, https://youtu.be/b8JltttdPD0?si=KMOONy906OUpkRX0, C:\Users\Rizwan\Transcripts\ep017.txt
018, https://youtu.be/b8JltttdPD0?si=CY0AfeeN3KuEFgnn, C:\Users\Rizwan\Transcripts\ep018.txt
019, https://youtu.be/_VRXNgx0GGs?si=BcX7j-9LEIWkbEgK, C:\Users\Rizwan\Transcripts\ep019.txt
020, https://youtu.be/Eg5ieLSVnRM?si=P9YTMgQi4-p_Yi_A, C:\Users\Rizwan\Transcripts\ep020.txt
021, https://youtu.be/Fm4hHhQspm0?si=Xlj1QkR65uk7gtwk, C:\Users\Rizwan\Transcripts\ep021.txt
022, https://youtu.be/-krrm_doi6k?si=IJTrr52Lxov28Aay, C:\Users\Rizwan\Transcripts\ep022.txt
023, https://youtu.be/tRQL1W14qbQ?si=oLJBhpr5qikrkMe6, C:\Users\Rizwan\Transcripts\ep023.txt 
024, https://youtu.be/Hc4SHZ9x3HU?si=na2gRXg6oNQVKJIe, C:\Users\Rizwan\Transcripts\ep024.txt
025, https://youtu.be/1QJrAwFNz-o?si=q33-LQ6pxkGS-pdV, C:\Users\Rizwan\Transcripts\ep025.txt
026, https://youtu.be/4a7qA2bGfa4?si=SkMSjQAeyPyUUVFk, C:\Users\Rizwan\Transcripts\ep026.txt
027, https://youtu.be/4a7qA2bGfa4?si=6ueI3AWqx23EeF4L, C:\Users\Rizwan\Transcripts\ep027.txt
028, https://youtu.be/4yr7iLjC7jY?si=g20PDKLlyNwJsm7D, C:\Users\Rizwan\Transcripts\ep028.txt
029, https://youtu.be/6XllutNKZMg?si=tGcVDf2WDpY02mTk, C:\Users\Rizwan\Transcripts\ep029.txt
030, https://youtu.be/vv-uYoBtoJE?si=HS3Md1tdqPG5G8zy, C:\Users\Rizwan\Transcripts\ep030.txt
031, https://youtu.be/t7xYaAz-evM?si=ZBpsvqJvLBPoWDcy, C:\Users\Rizwan\Transcripts\ep031.txt
032, https://youtu.be/5I4f7TzoTe8?si=A5YdxGvPyh4ltBWH, C:\Users\Rizwan\Transcripts\ep032.txt
033, https://youtu.be/fX-_kXV79ak?si=JaMiNfuptUGOy95U, C:\Users\Rizwan\Transcripts\ep033.txt
034, https://youtu.be/bXd9SCNbO5M?si=UR0P6PDx_6yrMJrN, C:\Users\Rizwan\Transcripts\ep034.txt
035, https://youtu.be/NmtEV4HlFec?si=9cE6cq9wvKQ4KbT1, C:\Users\Rizwan\Transcripts\ep035.txt
